   1,   100,  0.000000,  0.000000
   2,   200,  0.031250,  0.031250
   3,   300,  0.093750,  0.078125
   4,   400,  0.234375,  0.187500
   5,   500,  0.515625,  0.343750
   6,   600,  0.921875,  0.609375
   7,   700,  1.859375,  0.968750
   8,   800,  2.343750,  1.453125
   9,   900,  5.359375,  2.062500
